product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date
Zott Sahne Joghurt,https://offer-images.api.edeka/e37619a8-3ae2-44f1-9f56-efb699141589_4014500159744.png?imwidth=3840&imdensity=1,,,,"oder Kaffeegenuss, verschiedene Sorten, z. B. Joghurt Amarena- Kirsch oder Kaffeegenuss 150 g, Becher",,0.44,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Drews Aioli,https://offer-images.api.edeka/7a6ad482-c53b-4718-ac38-39dea4fd8bf9_4006495162809.png?imwidth=3840&imdensity=1,,,,"verschiedene Sorten, 200-g-Packung",,1.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Schwarzwaldmilch frische fettarme Milch,https://offer-images.api.edeka/b1a9e857-18fd-420d-a871-59af32ea9e15_4046700026045_1l_Elopak_BQM_Heimat_Frischmilch_1_5_f.png?imwidth=3840&imdensity=1,,,,"1,5% Fett oder frische Vollmilch, 3,5% Fett, 1-L-Packung",,1.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
EDEKA Bio Schlagsahne,https://offer-images.api.edeka/6aebcfad-8e70-4f57-a3be-07d5dd8e7078_4311501316634_PER.png?imwidth=3840&imdensity=1,,,,"30% Fett, 200-g-Becher",,0.89,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Donnerstag bis Samstag: Unsere Heimat – echt & gut Schlagsahne,https://offer-images.api.edeka/936174d7-a272-4baf-85cf-40035e8251fa_4166457003-UH_SCHLAGSAHNE_30_500G_MW-Neu.png?imwidth=3840&imdensity=1,,,,"mind. 30% Fett, 500-g-Flasche zzgl. 0,15 € Pfand",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
EDEKA Genussmomente Burrata,https://offer-images.api.edeka/638dfbe2-be20-411a-813e-c5ff8128a01a_4311501685877_ENT.tif.png?imwidth=3840&imdensity=1,,,,"mind. 50% Fett i. Tr., Abtropfgewicht 100 g 290-g-Becher",SUPERKNÜLLER,1.39,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
"EDEKA Genussmomente Tiramisu, Crème Brûlée,",https://offer-images.api.edeka/0bcd5033-dded-4595-9ed8-9b4e6296a49f_4311501343807_PER.tif.png?imwidth=3840&imdensity=1,,,,"Pro-fiteroles oder Panna Cotta, 2 x 100-g- Packung",SUPERKNÜLLER,1.59,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Donnerstag bis Samstag: Kerrygold original irische Butter,https://offer-images.api.edeka/dd02d3f3-485c-4dab-9fa2-0c802baec914_147091004-KERRYGOLD_IRISCHE_BUTTER_250G.png?imwidth=3840&imdensity=1,,,,"auch extra gesalzen oder ungesalzen, 250-g-Packung/Becher",SUPERKNÜLLER,1.59,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Donnerstag bis Samstag: Kerrygold Kräuter Butter,https://offer-images.api.edeka/56c1eadb-6a51-43e0-821e-881a94ab66cb_KG_Kraeuterbutter_150g_Becher_Seite_C1C1_4001954161669_P2_HighRes.png?imwidth=3840&imdensity=1,,,,150-g-Becher,SUPERKNÜLLER,1.59,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Donnerstag bis Samstag: Müller Reine Buttermilch,https://offer-images.api.edeka/db5a851b-8fdc-47db-99d7-41b00b22ad61_ML.BUTTERMILCH_FLASCHE_500G.png?imwidth=3840&imdensity=1,,,,500-g-Flasche,SUPERKNÜLLER,0.59,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Donnerstag bis Samstag: Parmigiano Reggiano DOP,https://offer-images.api.edeka/7f3a9f24-93f7-416a-91e5-c68073b63e17_2609897003_Parm.Reggiano_32_02_300dpi_ECI_RGB_v2.png?imwidth=3840&imdensity=1,,,,"italienischer Hartkäse aus Rohmilch, mind. 32% Fett i. Tr., mind. 12 Monate gereift, mild, nicht scharf, 100 g",SUPERKNÜLLER,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
Berchtesgadener Land haltbare Berg und Alpen Milch,https://offer-images.api.edeka/d6606661-ab11-49b4-9ff7-d6a69451fb01_4101530002475_12er_1.png?imwidth=3840&imdensity=1,,,,"3,5% Fett, Karton mit 12 x 1-L-Packungen",,11.00,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
,,,,,,,,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-07
