product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date
,,,,,,,,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-08
Müller Froop,https://offer-images.api.edeka/7074f7d8-b91a-421e-bc3d-6ca5b7805697_Froop_-_Himbeere_auf_Joghurt.png?imwidth=3840&imdensity=1,,,,"verschiedene Sorten, 150-g-Becher",SUPERKNÜLLER,0.33,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Salakis,https://offer-images.api.edeka/530fb02c-ef7f-4013-90bc-bf2415bd0424_3023260033424_VOR.tif.png?imwidth=3840&imdensity=1,,,,"verschiedene Sorten, z. B. Natur, 48% Vollfettstufe, 180 g, Packung",,1.59,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Géramont Der Cremige,https://offer-images.api.edeka/3fda52b4-a382-4eec-b080-0fe1ba8d3a5c_148929003_GERAMONT_NATUR_60PROZENT_DS_CA_1_8KG.png?imwidth=3840&imdensity=1,,,,"mind. 60% Fett i. Tr. oder Der Frische, mind. 64% Fett i. Tr., französischer Weichkäse aus Kuhmilch, mild, sahnig, 100 g",SUPERKNÜLLER,1.69,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Saint Albray,https://offer-images.api.edeka/eaa0e488-08c1-4b12-a929-62d775aefc27_3222110010695_VOR.tif.png?imwidth=3840&imdensity=1,,,,"vollmundig & würzig, mind. 62% Fett i. Tr., 6 x 30-g-Packung",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Chavroux milder Ziegenkäse,https://offer-images.api.edeka/5bb4ca6b-07d3-4a3f-9d15-3a76e49de52d_3272770003148_VOR.tif.png?imwidth=3840&imdensity=1,,,,"mind. 45% Fett i. Tr., 150-g-Packung",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Kerrygold Original irischer Cheddar herzhaft,https://offer-images.api.edeka/79b5a645-f080-4002-a934-5f89abf638cc_5410396152934_VOR.tif.png?imwidth=3840&imdensity=1,,,,"mind. 50% Fett i. Tr. und weitere Sorten, 150-g-Packung",,1.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Brunch Brotaufstrich,https://offer-images.api.edeka/93bf5035-d569-484d-8847-e02e584fba46_01_LAY_22_105_3D_Brunch_Kraeuter.png?imwidth=3840&imdensity=1,,,,"verschiedene Sorten, 185-g-Becher",,1.19,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Kraxler-Käse,https://offer-images.api.edeka/68f1f479-19a0-44f2-b9c3-afb66341dece_22282945_DUMMYARTIKEL_KRAXLERKAESE.png?imwidth=3840&imdensity=1,,,,"mind. 50 % Fett, i. Tr., österreichischer Schnittkäse, mind. 4 Monate gereift, Oberfläche mit Rotschmierkulturen gepflegt, würzig, kompakt, 100 g",,1.69,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Ossau Iraty AOP,https://offer-images.api.edeka/6d7ee704-1303-4bf2-989a-9b4ce5fbbf51_122502_28.png?imwidth=3840&imdensity=1,,,,"mind. 50% Fett i. Tr., französischer Schnittkäse aus Schafsmilch, aromatisch, nussig, 100 g",,3.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Kaltbach cremig-würzig,https://offer-images.api.edeka/f8bbc9e4-da90-41e9-a9e1-1ccd1a642880_2813189_FC_CH_KALTBACH_CREMIG_WUERZIG_4.2KG.png?imwidth=3840&imdensity=1,,,,"Schweizer Schnittkäse, mind. 56% Fett i. Tr., würzig, leicht fruchtig, 4 Monate gereift, 100 g",,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Fiorella di Tomino Torte,https://offer-images.api.edeka/c9811390-9859-4ee4-8c84-9b99fcc6cc1f_122110_80.png?imwidth=3840&imdensity=1,,,,"deutscher Weichkäse, mind. 68% Fett i. Tr., frisch säuerlich, leicht würzig, cremig, mit Weißschimmel überwachsen, 100 g",,2.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Sommelier Nr.1,https://offer-images.api.edeka/58c1970f-ffdc-450a-8c6f-116ce7a82ce8_Sommelier_No.1.png?imwidth=3840&imdensity=1,,,,"mind. 55% Fett i. Tr., Schweizer Hartkäse, aus Rohmilch, kräftig würzig im Geschmack, 100 g",,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Vacherin des Bauges,https://offer-images.api.edeka/a40644a3-33d4-4de2-9bfa-5deeca724d4d_Vacherin_des_Bauges_Kopie.png?imwidth=3840&imdensity=1,,,,"mind. 50% Fett i. Tr., französischer Weichkäse aus dem Savoyen, mit Rohmilch hergestellt, im Fichtenrindenmantel gereift, 100 g",,3.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Bleu de Basques,https://offer-images.api.edeka/52d62102-4f7e-4eae-a489-d287655da387_2023-06-16_11_49_19-bilder_bleu_de_basques_-_Bing_images_und_1_weitere_Seite_-_Profil_1_Microsoft_.png?imwidth=3840&imdensity=1,,,,"französischer Blauschimmelkäse, mind. 45% Fett i. Tr., Schafsmilch, aus den Pyrenären, würzig im Geschmack, 100 g",,3.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Montagnolo Mohn,https://offer-images.api.edeka/8709dcf7-d92a-4868-b54a-43d44f1a2292_Limoncino_Mohn.png?imwidth=3840&imdensity=1,,,,"mind. 70% Fett i. Tr., deutscher Edelpilzkäse, mit Limonen-Marmelade, Limoncello-Likör 26% Vol. und Blaumohn veredelt, 100 g",,4.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Orangen Pfeffercreme,https://offer-images.api.edeka/5a762351-ce5b-4f0f-98f0-6a1523ab14c3_Orange-Pfeffer-Creme.png?imwidth=3840&imdensity=1,,,,"deutscher Frischkäse, mind. 70% Fett i. Tr., mit frischen Orangen und Pfefferkörnern verfeinert, 100 g",,1.69,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
EDEKA Mehrkornbaguette Gartenkräuter,https://offer-images.api.edeka/86075c5b-e2d8-43b7-903b-eedb21c7616a_4311501015674_PER.png?imwidth=3840&imdensity=1,,,,175-g-Packung,,0.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Zott Zottarella,https://offer-images.api.edeka/83d34077-ae02-4756-9900-0bd167c1ac1c_221223-2_Zottarella_Classic_250g_Pizza1-Mockup.png?imwidth=3840&imdensity=1,,,,"mind. 45% Fett i. Tr., Abtropfgewicht 250 g, 400-g-Packung",,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Mozzarella di Bufala,https://offer-images.api.edeka/afc0fc4b-fc8d-4870-baf4-43f2f0821beb_122477_48.png?imwidth=3840&imdensity=1,,,,"italienische Pasta Filata, mind. 52% Fett i. Tr., aus Büffelmilch, frisch, milchig, leicht säuerlich, 100 g",,2.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Apostels Zaziki,https://offer-images.api.edeka/7a2874eb-b85a-4607-8099-8abeccf2498e_175135008-APOSTELS_ZAZIKI_200G.png?imwidth=3840&imdensity=1,,,,200-g-Becher,,0.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Weideglück Landjoghurt mild,https://offer-images.api.edeka/c8505008-7d50-447a-82d7-0115df34c5e5_4028900004641_VOR.tif.png?imwidth=3840&imdensity=1,,,,"3,5% Fett, 1-kg-Eimer",,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Ehrmann High Protein Mousse Schokolade,https://offer-images.api.edeka/30896580-04a8-4759-b60c-ffb073da6819_4002971283808.png?imwidth=3840&imdensity=1,,,,"oder Vanille, 200-g-Becher",SUPERKNÜLLER,1.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Meggle Kräuterbutter Original Portionen,https://offer-images.api.edeka/33d87c09-f6ad-4c8f-ae7e-a9e48ed1f5dd_147284004-MEG.KRAEUTERBUTTER_RG.5X20G.png?imwidth=3840&imdensity=1,,,,5 x 20-g-Packung,,1.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Meggle Aioli vegan,https://offer-images.api.edeka/85b1080f-9032-485d-811e-6e071db65d59_2006163_MEGGLE_Aioli_Vegan_Tube_80ml_Packshot_300ppi.png?imwidth=3840&imdensity=1,,,,80-ml-Tube,,1.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Bärenmarke frischer Eiskaffee Latte Macchiato,https://offer-images.api.edeka/6e051973-0d22-4b5b-ade6-9692236e8b6d_BM_Der_Frische_Eiskaffee_LATM_3D_1L_rgb_150dpi_37099_Print_300dpi_.png?imwidth=3840&imdensity=1,,,,"oder haltbarer Eiskaffee klassisch, 1-L-Packung",,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Zott Sahne Joghurt,https://offer-images.api.edeka/f45386e9-5f59-4f67-96c3-7c20593b3379_4014500159744.png?imwidth=3840&imdensity=1,,,,"oder Kaffeegenuss, verschiedene Sorten, z. B. Joghurt Amarena- Kirsch oder Kaffeegenuss 150 g, Becher",,0.44,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Drews Aioli,https://offer-images.api.edeka/11572fc3-674e-49b1-9d3f-1f34c092b184_4006495162809.png?imwidth=3840&imdensity=1,,,,"verschiedene Sorten, 200-g-Packung",,1.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Schwarzwaldmilch frische fettarme Milch,https://offer-images.api.edeka/2c60b0dc-a927-40cc-a714-4b64fac38287_4046700026045_1l_Elopak_BQM_Heimat_Frischmilch_1_5_f.png?imwidth=3840&imdensity=1,,,,"1,5% Fett oder frische Vollmilch, 3,5% Fett, 1-L-Packung",,1.29,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
EDEKA Bio Schlagsahne,https://offer-images.api.edeka/49c07236-922d-4143-b270-027d9b6566f2_4311501316634_PER.png?imwidth=3840&imdensity=1,,,,"30% Fett, 200-g-Becher",,0.89,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Donnerstag bis Samstag: Unsere Heimat – echt & gut Schlagsahne,https://offer-images.api.edeka/b465acc9-7756-4381-b81b-e0aa120a9e66_4166457003-UH_SCHLAGSAHNE_30_500G_MW-Neu.png?imwidth=3840&imdensity=1,,,,"mind. 30% Fett, 500-g-Flasche zzgl. 0,15 € Pfand",,2.22,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
EDEKA Genussmomente Burrata,https://offer-images.api.edeka/d86df978-a274-476f-8d91-27272ea8ace7_4311501685877_ENT.tif.png?imwidth=3840&imdensity=1,,,,"mind. 50% Fett i. Tr., Abtropfgewicht 100 g 290-g-Becher",SUPERKNÜLLER,1.39,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
"EDEKA Genussmomente Tiramisu, Crème Brûlée,",https://offer-images.api.edeka/c93bb175-c635-41b7-b9fb-cb30e9092642_4311501343807_PER.tif.png?imwidth=3840&imdensity=1,,,,"Pro-fiteroles oder Panna Cotta, 2 x 100-g- Packung",SUPERKNÜLLER,1.59,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Donnerstag bis Samstag: Kerrygold original irische Butter,https://offer-images.api.edeka/d77c7672-b5a0-4137-a5d0-5170ba31cc22_147091004-KERRYGOLD_IRISCHE_BUTTER_250G.png?imwidth=3840&imdensity=1,,,,"auch extra gesalzen oder ungesalzen, 250-g-Packung/Becher",SUPERKNÜLLER,1.59,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Donnerstag bis Samstag: Kerrygold Kräuter Butter,https://offer-images.api.edeka/631fab83-8e36-432f-b50f-73c50fe62b2b_KG_Kraeuterbutter_150g_Becher_Seite_C1C1_4001954161669_P2_HighRes.png?imwidth=3840&imdensity=1,,,,150-g-Becher,SUPERKNÜLLER,1.59,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Donnerstag bis Samstag: Müller Reine Buttermilch,https://offer-images.api.edeka/6c02ae7e-da51-4478-8bc3-c9b9b766adc9_ML.BUTTERMILCH_FLASCHE_500G.png?imwidth=3840&imdensity=1,,,,500-g-Flasche,SUPERKNÜLLER,0.59,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Donnerstag bis Samstag: Parmigiano Reggiano DOP,https://offer-images.api.edeka/bf7d6660-e3f2-4ebc-8f6c-0014a0ccf8bf_2609897003_Parm.Reggiano_32_02_300dpi_ECI_RGB_v2.png?imwidth=3840&imdensity=1,,,,"italienischer Hartkäse aus Rohmilch, mind. 32% Fett i. Tr., mind. 12 Monate gereift, mild, nicht scharf, 100 g",SUPERKNÜLLER,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
Berchtesgadener Land haltbare Berg und Alpen Milch,https://offer-images.api.edeka/d993faef-b8ab-4bae-8fba-b5a1bcbd71e6_4101530002475_12er_1.png?imwidth=3840&imdensity=1,,,,"3,5% Fett, Karton mit 12 x 1-L-Packungen",,11.00,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
,,,,,,,,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-08
EDEKA Genussmomente Teigwaren,https://offer-images.api.edeka/9d776e3e-2bdd-4eea-83bf-4dc6fd12efaf_4311501606179_ENT.tif.png?imwidth=3840&imdensity=1,,,,"verschiedene Ausformungen, 500-g-Packung",SUPERKNÜLLER,1.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,GRUNDNAHRUNG,2023-07-08
Kölln Bio Hafer Flocken zart,https://offer-images.api.edeka/e95ee929-ca8e-419f-a6f3-dde9841396e3_4000540000641_.png?imwidth=3840&imdensity=1,,,,500-g-Packung,,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,GRUNDNAHRUNG,2023-07-08
EDEKA Bio Knusper Müsli,https://offer-images.api.edeka/29943317-9348-421c-a0f3-539f79390699_4311501636183_PER.png?imwidth=3840&imdensity=1,,,,"verschiedene Sorten, 500-g-Packung",,2.79,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,GRUNDNAHRUNG,2023-07-08
Alnatura Bio Corn Flakes,https://offer-images.api.edeka/d3b18ae3-312b-4eb3-b56c-04c156b0088a_4104420019683_frontal.png?imwidth=3840&imdensity=1,,,,375-g-Packung,,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,GRUNDNAHRUNG,2023-07-08
Alnatura Bio Corn Flakes ungesüßt,https://offer-images.api.edeka/d7af2de6-1aac-4ecb-a976-3ec231b677e0_4104420139640_Cornflakes_ungesuesst_300g_1601.png?imwidth=3840&imdensity=1,,,,300-g-Packung,,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,GRUNDNAHRUNG,2023-07-08
Barilla Teigwaren Al Bronzo,https://offer-images.api.edeka/37314d8d-869c-4cee-a04d-af9085f126a3_8076809581127_VOR.tif.png?imwidth=3840&imdensity=1,,,,"oder Collezione, verschiedene Ausformungen, z. B. Al Bronzo Spaghetti 400 g, Packung",,1.79,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,GRUNDNAHRUNG,2023-07-08
Barilla Teigwaren Vollkorn,https://offer-images.api.edeka/757e619a-513d-4877-9b5d-70cf494a7023_8076809529419_VOR.tif.png?imwidth=3840&imdensity=1,,,,"verschiedene Ausformungen, 500-g-Packung",SUPERKNÜLLER,1.79,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,GRUNDNAHRUNG,2023-07-08
Gut & Günstig Spaghetti,https://offer-images.api.edeka/7b2ac07b-5f09-4657-ba53-c83a153f369c_4311501003770_PER.png?imwidth=3840&imdensity=1,,,,"oder Fusill, 1-kg-XXL-Vorteilspackung",,1.39,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,GRUNDNAHRUNG,2023-07-08
