product_name,product_image,product_link,product_quantity,tag_label,price,product_information,store_address,store,category,date
Donnerstag bis Samstag: Pikante Feuerwurst ,https://offer-images.api.edeka/92f26964-5513-4a95-a458-4346ca1eb395_4785030007_Feuerwurst_n_Art_Rindsw_1_1KG.png?imwidth=3840&imdensity=1,,"nach Art einer Rindswurst oder Rindswurst im Saitling, 100 g
 
• Glutenfrei
 
• Laktosefrei",SUPERKNÜLLER,1.19,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Original Nürnberger Rostbratwurst ,https://offer-images.api.edeka/7ac79d18-3ba6-497b-a876-3a1a1cbe108f_4002960406102_VOR.tif.png?imwidth=3840&imdensity=1,,200-g-Packung,,2.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Houdek Kabanos Klassik oder Käse ,https://offer-images.api.edeka/fb62a1a7-d6a8-41f7-b5f5-4f0b97457600_4004786011522_VOR.tif.png?imwidth=3840&imdensity=1,,150-g-Packung,,1.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Volvic Touch oder Tee ,https://offer-images.api.edeka/14a8fc30-be2f-4bf3-b10f-887844e90f4d_VOL_TOUCH_PA_1500ml_NEU_ab_Nov.2020.png?imwidth=3840&imdensity=1,,"verschiedene Sorten, 1,5-L-PET-Flasche zzgl. 0,25 € Pfand",SUPERKNÜLLER,1.19,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Rauch Eistee ,https://offer-images.api.edeka/af387c0d-eb2f-4e03-879f-595eff574d30_9008700215183_VOR.tif.png?imwidth=3840&imdensity=1,,"verschiedene Sorten, koffeinhaltig, 0,33-L-Dose zzgl. 0,25 € Pfand",,0.59,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Effect Energy ,https://offer-images.api.edeka/5ffee807-8577-47af-9061-b68b3cce91a4_Abb_effect_0_33l_Dose_Neues_Design_2018.png?imwidth=3840&imdensity=1,,"koffeinhaltig, 0,33-L-Dose zzgl. 0,25 € Pfand",,0.79,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Schweppes ,https://offer-images.api.edeka/347e26f9-1762-4c1d-823f-c724c7408222_Indian_Tonic_Water_1l_MW.png?imwidth=3840&imdensity=1,,"verschiedene Sorten, 1-L-PET-Flasche zzgl. 0,15 € Pfand",,1.39,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Sinalco Cola-Mix² oder Orange ,https://offer-images.api.edeka/b95f3c40-dc0e-44a8-a014-f4ba58d396f5_Si_Cola_Mix_125_EW_FL_cmyk.png?imwidth=3840&imdensity=1,,"(²koffeinhaltig), 1,25-L-Flasche zzgl. 0,25 € Pfand",,0.79,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Black Forest Mineralwasser still,https://offer-images.api.edeka/09e71039-0378-46f7-a6a9-87a97471d9cc_BF-still_PET_1_5l-Kiste_frontal.png?imwidth=3840&imdensity=1,,"oder fein perlend, Kiste mit 6 x 1,5-L-PET-Flaschen zzgl. 3,00 € Pfand",,4.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Schwarzwald-Sprudel Limonade ,https://offer-images.api.edeka/2cb3499f-ff5a-44f7-91e7-46f109b06c5e_Zitrone-Kasten_front_63.png?imwidth=3840&imdensity=1,,"verschiedene Sorten, Kiste mit 12 x 0,7-L-Flaschen zzgl. 3,30 € Pfand",,5.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
S. Pellegrino Mineralwasser ,https://offer-images.api.edeka/f9936a3d-439f-4c16-b55f-d09291d0291c_2438112009.png?imwidth=3840&imdensity=1,,"mit Kohlensäure, Kiste mit 6 x 1-L-Flaschen zzgl. 2,40 € Pfand",,5.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Kloster Natur Radler,https://offer-images.api.edeka/81c1abe5-be1f-4980-bdc2-01ae8a6022c3_KlosterNaturRadler.SixPack_frontal.png?imwidth=3840&imdensity=1,,"auch 0,0% Alkoholfrei, Packung mit 6 x 0,33-L-Flaschen zzgl. 0,48 € Pfand",,3.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Allgäuer Büble Edelbräu ,https://offer-images.api.edeka/b43948fe-29c2-4bd1-9779-1b2a7ecd7ce6_Bueble_Edelbraeu_20x0_5l.png?imwidth=3840&imdensity=1,,"Kiste mit 20 x 0,5-L-Bügelflaschen zzgl. 4,50 € Pfand",,13.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Radeberger Pilsner ,https://offer-images.api.edeka/16b82be8-cadc-455c-b0cd-81a83f840e7b_205182_RP_Kasten_20x05l_Frontal_Vorne_leichtePerspektive.png?imwidth=3840&imdensity=1,,"Kiste mit 20 x 0,5-L-Flaschen zzgl. 3,10 € Pfand",,11.49,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
"Kloster Hefeweizen, Spezial oder Pilsner ",https://offer-images.api.edeka/6fb4ee35-5c80-40c8-b464-1e007b2f39bd_DA_KLOSTER_KASTEN_NRW_050_frontal_breit_HefeWeizen_300DPI_CMYK.png?imwidth=3840&imdensity=1,,"Kiste mit 20 x 0,5-L-Flaschen zzgl. 3,10 € Pfand",,9.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Hacker-Pschorr Münchner Hell ,https://offer-images.api.edeka/e0866bc0-b91c-4017-808a-242eb100e7c2_HP_Kiste033_muenchner-hell_front_2021.png?imwidth=3840&imdensity=1,,"Kiste mit 20 x 0,33-L-Bügelflaschen zzgl. 4,50 € Pfand",,12.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
Warsteiner Pilsener ,https://offer-images.api.edeka/69e66f18-fe0f-4be7-b44e-dc3e348e7eff_WPP_20x0_5l_frontal.png?imwidth=3840&imdensity=1,,"Kiste mit 20 x 0,5-L-Flaschen zzgl. 3,10 € Pfand",SUPERKNÜLLER,10.99,,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,,2023-07-05
