product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,offer_duration,date
K-WERTSCHÄTZE Schweinebauchscheiben,https://kaufland.media.schwarz/is/image/schwarz/00014276?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014383.html,,690-g-Packg. (1 kg = 7.53),"
			-22%
					",5.19 ,"natur, ohne Knochen","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-PURLAND Schweinerückensteak Paprika Style,https://kaufland.media.schwarz/is/image/schwarz/00013350a?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013350.html,,kg ,,5.99 *,mariniert,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									06.07. - 12.07.
								
",2023-07-08
WILLMS Rückensteak vom Ibérico-Schwein,https://kaufland.media.schwarz/is/image/schwarz/00013408?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013408.html,,220-g-Packg. (1 kg = 22.69),,4.99 *,"roh, zum Braten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									06.07. - 12.07.
								
",2023-07-08
K-PURLAND Rinderbraten Hals/Hohe Rippe,https://kaufland.media.schwarz/is/image/schwarz/00053074d-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00053074.html,,kg ,"
			-28%
					",8.99 ,"vom Jungbullen,zum Braten am Stück oderfür Gulasch","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-PURLAND Pfeffersteak,https://kaufland.media.schwarz/is/image/schwarz/00099800?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00099800.html,,kg (entspr. z. B. für eine 200-g-Packg. 2.49),"
			KNÜLLER
					",12.45 ,"vom Jungbullen,gewürzt, mindestens 21 Tage gereift","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-PURLAND Hackfleischspieß Adana Kebap Style,https://kaufland.media.schwarz/is/image/schwarz/00014406?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014406.html,,400-g-Packg. (1 kg = 8.73),,3.49 *,"vom Rind, gewürztzum Braten und Grillen","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									06.07. - 12.07.
								
",2023-07-08
Chicken-Nuggets,https://kaufland.media.schwarz/is/image/schwarz/01261850?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01261850.html,,1-kg-Großpackg. ,,5.99 *,im Backteigmantel,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									06.07. - 12.07.
								
",2023-07-08
DAILY KITCHEN Hähnchen-Schnitte Cordon Bleu,https://kaufland.media.schwarz/is/image/schwarz/01175124?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01175124.html,,3 St. = 375-g-Packg. (1 kg = 8.51),"
			KNÜLLER
					",3.19 ,"gefüllt mit Schmelzkäse und Schinken, paniert","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-PURLAND Putenschnitzel,https://kaufland.media.schwarz/is/image/schwarz/01144946?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01144946.html,,500-g-Packg. (1 kg = 8.78),"
			-20%
					",4.39 ,aus dem Brustfilet geschnitten,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-PURLAND Puten-Oberkeule,https://kaufland.media.schwarz/is/image/schwarz/01144951?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01144951.html,,1-kg-Packg. ,"
			KNÜLLER
					",4.49 ,HKL A,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-PURLAND Hackfleisch gemischt,https://kaufland.media.schwarz/is/image/schwarz/00028415?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00028415.html,,500-g-Packg. (1 kg = 5.98),"
			KNÜLLER
					",2.99 ,von Schwein und Rind,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
ITALFINO Salsiccia,https://kaufland.media.schwarz/is/image/schwarz/01279395?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01279395.html,,je 5 St. = 300-g-Packg. (1 kg = 13.30),"
			-28%
					",3.99 ,"ital. grobe Bratwurst, Finocchiooder Classica","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-CLASSIC Mini-Wiener oder -Puten-Wiener,https://kaufland.media.schwarz/is/image/schwarz/00878107?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00878107.html,,je 12 St. = 320-g-Packg. (1 kg = 6.94),"
			KNÜLLER
					",2.22 ,"geräuchert, Spitzenqualität","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
REINERT Schinken-Nuggetz,https://kaufland.media.schwarz/is/image/schwarz/00156216?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00156216.html,,je 3 x 50-g-Packg. (1 kg = 12.60),"
			-36%
					",1.89 ,"Gourmet-Katenschinkenwürfel,extra mager oder herzhaft","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
K-FAVOURITES Chorizo,https://kaufland.media.schwarz/is/image/schwarz/01197069?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01197069.html,,je 100-g-Packg. (1 kg = 19.90),"
			-23%
					",1.99 ,"original span. Paprika-Salami, fein oder grob","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
KÜPER Gelderländer Bauchspeck Zwilling,https://kaufland.media.schwarz/is/image/schwarz/01292376?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01292376.html,,300-g-Packg. (1 kg = 7.64),"
			-23%
					",2.29 ,mild geräuchert und von Hand gesalzen,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
HANDL TYROL Tiroler Pausen-Sticks,https://kaufland.media.schwarz/is/image/schwarz/01258294?JGstbGVnYWN5LW9uc2l0ZS0yJA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01258294.html,,90-g-Packg. (1 kg = 19.89),"
			-18%
					",1.79 ,Classic,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
AOSTE Stickado Mini-Salamis,https://kaufland.media.schwarz/is/image/schwarz/00161109?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00161109.html,,je 60 - 70-g-Packg. (1 kg = 22.72 - 26.50) / (1 kg = 19.86 - 23.17)**,"
			KNÜLLER
					",1.59 ,"franz. Salami-Snack, versch. Sorten","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									06.07. - 12.07.
								
",2023-07-08
TULIP Frühstücksfleisch,https://kaufland.media.schwarz/is/image/schwarz/01400300?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01400300.html,,340-g-Dose (1 kg = 5.86),"
			-28%
					",1.99 ,"aus Schweinefleisch, ideal als Brotbelag","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
06.07. - 12.07.
",2023-07-08
Norw. Lachsfilet,https://kaufland.media.schwarz/is/image/schwarz/00935351FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00863503.html,,100 g ,"
			KNÜLLER
					",2.29 ,"mit Haut, praktisch grätenfrei,aus zertifizierter Aquakultur","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
06.07. - 12.07.
",2023-07-08
Thunfischfilet,https://kaufland.media.schwarz/is/image/schwarz/04536832FRb?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=04536832.html,,100 g ,"
			KNÜLLER
					",3.99 ,"zart und mild, festes Fleisch,schonend gefangen mit Handleinen","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
06.07. - 12.07.
",2023-07-08
"> Weißes, kleinfaseriges Fleisch > Sehr feiner, aromatischer Geschmack > Ideal zur Zubereitung im Ganzen, z. B. im Salzmantel oder im OfenWolfsbarsch",https://kaufland.media.schwarz/is/image/schwarz/04515110FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=04515110.html,,100 g ,"
			-25%
					",1.49 ,"ausgenommen, aus Aquakultur","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
06.07. - 12.07.
",2023-07-08
Schwarzer Heilbutt,https://kaufland.media.schwarz/is/image/schwarz/01265687FRa?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01265687.html,,100 g ,"
			-23%
					",2.29 ,geräuchertes Mittelstück,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
06.07. - 12.07.
",2023-07-08
Smoky-Rauchmatjesfilet,https://kaufland.media.schwarz/is/image/schwarz/04500914FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=04500914.html,,100 g ,"
			-23%
					",1.29 ,"würzig-aromatisch, nach nordischer Art","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,Fisch,"
06.07. - 12.07.
",2023-07-08
K-TO GO Granatapfelkerne,https://kaufland.media.schwarz/is/image/schwarz/01195492?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01195492.html,,je 80-g-Schale (1 kg = 22.38),,1.79 *,"verzehrfertig geschnitten,im O&G Kühlregal","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									06.07. - 12.07.
								
",2023-07-08
K-TO GO Kokosnussstreifen,https://kaufland.media.schwarz/is/image/schwarz/01195491?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01195491.html,,je 150-g-Schale (1 kg = 11.94),,1.79 *,"verzehrfertig geschnitten,im O&G Kühlregal","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									06.07. - 12.07.
								
",2023-07-08
Demeter dtsch. Mini-Romanasalat,https://kaufland.media.schwarz/is/image/schwarz/00370476a-1?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01288495.html,,je 2-St.-Packg. ,,1.79 ,Kl. II,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","
06.07. - 12.07.
",2023-07-08
Demeter Dtsch. Zucchini,https://kaufland.media.schwarz/is/image/schwarz/00372300FRb?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01298167.html,,je 500-g-Packg. (1 kg = 3.58),,1.79 ,Kl. II,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","
06.07. - 12.07.
",2023-07-08
Dtsch. Cocktailrispentomaten,https://kaufland.media.schwarz/is/image/schwarz/00372690FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01283389.html,,je 350-g-Packg. (1 kg = 5.12),,1.79 *,Kl. I,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									06.07. - 12.07.
								
",2023-07-08
"Dtsch. Einlegegurken, lose",https://kaufland.media.schwarz/is/image/schwarz/00371458FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00371458.html,,kg ,"
			1/2 PREIS
					",1.49 ,,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","
06.07. - 12.07.
",2023-07-08
Dtsch. Himbeeren,https://kaufland.media.schwarz/is/image/schwarz/00374272FR-3?JGstbGVnYWN5LW9uc2l0ZS00JA==,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01495135.html,,125-g-Schale (1 kg = 15.92),,1.99 *,Kl. I,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Obst, Gemüse, Pflanzen","

									06.07. - 12.07.
								
",2023-07-08
