product_name,product_image,product_link,product_quantity,tag_label,price,product_information,store_address,store,category,from_to_date
K-FAVOURITES Amerik. Rinderhüftsteak,https://kaufland.media.schwarz/is/image/schwarz/00014262?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014262.html,kg (entspr. z. B. für eine 250-g-Packg. 5.99),,23.96 *,mind. 21 Tage gereift,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									29.06. - 05.07.
								
"
K-PURLAND Puten-Grillies,https://kaufland.media.schwarz/is/image/schwarz/01146794?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01146794.html,300-g-Packg. (1 kg = 8.30),"
			-16%
					",2.49 ,"aus fein zerkleinertem Putenfleisch,mariniert, am Spieß","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-PURLAND Hähnchen-Geschnetzeltes,https://kaufland.media.schwarz/is/image/schwarz/01144876?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01144876.html,400-g-Packg. (1 kg = 8.98),"
			KNÜLLER
					",3.59 ,aus dem Brustfilet,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
> Langsam wachsende Rasse > 100 % pflanzliches Futter > Fütterung ohne GentechnikNATURE & RESPECT Franz. Maishähnchen aus Freilandhaltung,https://kaufland.media.schwarz/is/image/schwarz/01381908?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01381908.html,"kg (entspr. z. B. für ein 1,3-kg-Stück 6.49)","
			-27%
					",4.99 ,"HKL A, grillfertig","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
K-PURLAND XXL-Puten-Hackfleisch,https://kaufland.media.schwarz/is/image/schwarz/01342663?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01342663.html,1-kg-Großpackg. ,,5.99 *,zum Braten,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									29.06. - 05.07.
								
"
K-PURLAND Puten-Unterkeule,https://kaufland.media.schwarz/is/image/schwarz/01144950?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01144950.html,900-g-Packg. (1 kg = 4.22),"
			-12%
					",3.79 ,HKL A,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
Crunchy Chicken Patties,https://kaufland.media.schwarz/is/image/schwarz/01426502a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01426502.html,je 500-g-Großpackg. (1 kg = 9.98),,4.99 *,"knusprige Hähnchen-Patties American Style,Classic oder Hot","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									29.06. - 05.07.
								
"
SAM'S Straußen-Steaks,https://kaufland.media.schwarz/is/image/schwarz/00014466?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00014466.html,kg (entspr. z. B. für eine 250-g-Packg. 4.99),"
			-20%
					",19.95 ,"vorgegrillt, in delikater Marinade,2 Stück","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
WILLMS Neuseel. Lammfilets,https://kaufland.media.schwarz/is/image/schwarz/00013719?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00013719.html,kg (entspr. z. B. für eine 280-g-Packg. 6.69),,23.89 *,in Kräutermarinade,"Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","

									29.06. - 05.07.
								
"
K-CLASSIC Fränk. Rostbratwurst,https://kaufland.media.schwarz/is/image/schwarz/00176796a?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00176796.html,5 St. = 350-g-Packg. (1 kg = 8.55),"
			-21%
					",2.99 ,"gebrüht, im Schafsaitling","Eppelheimer Straße 78, 69123 Heidelberg",Kaufland,"Fleisch, Geflügel, Wurst","
29.06. - 05.07.
"
