product_name,product_image,product_link,product_quantity,tag_label,price,product_information,store_address,store,category,from_to_date
BLOCK HOUSE Sauce,https://kaufland.media.schwarz/is/image/schwarz/01305655?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01305655.html,je 240-ml-Fl. (1 l = 8.30),"
			KNÜLLER
					",1.99 ,versch. Sorten,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Angebote der Amerika-Woche,"
29.06. - 05.07.
"
"Amerik. Süßkartoffeln, lose",https://kaufland.media.schwarz/is/image/schwarz/00398180FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00398180.html,kg ,,1.99 *,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Angebote der Amerika-Woche,"

									29.06. - 05.07.
								
"
"Peruan./südafrik. Avocado, lose",https://kaufland.media.schwarz/is/image/schwarz/01217589FR-3?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01139937.html,Stück ,,1.29 *,"Sorte: »Hass«,Kl. I","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Angebote der Amerika-Woche,"

									29.06. - 05.07.
								
"
Donut USA Style,https://kaufland.media.schwarz/is/image/schwarz/01402991FR?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01402991.html,Stück ,,0.49 *,mit Zuckerstreuseln in den Farbender amerik. Flagge,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Angebote der Amerika-Woche,"

									29.06. - 05.07.
								
"
PRINCESS Hot Dog Maker »292936«,https://kaufland.media.schwarz/is/image/schwarz/01491058_V_599573?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01491058.html,je ,"
			-49%
					",19.99 ,"Für bis zu 10 Hot Dogs pro Vorgang
Mit Brötchenwärmer
Herausnehmbarer Eierkocheinsatz
Abnehmbarer Behälter
Trockenkochschutz
Max. 350 W","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Angebote der Amerika-Woche,"
29.06. - 05.07.
"
INTENSO USB-Stick »Speed Line«,https://kaufland.media.schwarz/is/image/schwarz/00995821?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00995821.html,je ,"
			-60%
					",5.99 ,"Speicherkapazität 64 GB
USB 3.0","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
INTENSO microSD-Karte »UHS-I Premium«,https://kaufland.media.schwarz/is/image/schwarz/01031611_P_321446?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01031611.html,je ,"
			-60%
					",5.99 ,"Mit SD-Adapter
Speicherkapazität 64 GB
Geschwindigkeit bis zu 45 MB/sec","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
SWITCH ON® TV-Wandhalterung »TV-A0202«,https://kaufland.media.schwarz/is/image/schwarz/01198091_P_310747?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01401083.html,je ,"
			-38%
					",7.99 ,"Aus Stahl
Für TVs mit 32 bis 65 Zoll
Neigung stufenlos verstellbar +0/-8°
Für alle VESA-Standards bis 400 x 400 mm
Belastbarkeit max. 35 kg
Inkl. Wasserwaage und Befestigungsmaterial
3 Jahre Garantie","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
DENVER Bluetooth-Lautsprecher »BTL-62«,https://kaufland.media.schwarz/is/image/schwarz/01401276_V_472482?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01401276.html,je ,"
			-69%
					",14.99 ,"Bluetooth 2.1 mit EDR
Reichweite bis zu 10 m
Integriertes FM-Radio
LED-Lichtshow mit 4 Modi
Lautsprecher mit 2 x 3 W (RMS)
AUX-In (3,5-mm-Klinke)
Akku-Laufzeit bis zu 4 h
Größe ca. Ø 7,6 x 18 cm","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
INTENSO Powerbank »XS 20000«,https://kaufland.media.schwarz/is/image/schwarz/01467709_P_501779?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01467709.html,je ,"
			-40%
					",17.99 ,"Kapazität 20.000 mAh
Blaue LED-Energieanzeige
Überspannungs-, Überlade- und Entladeschutz
Eingang USB-C und Micro-USB
Ausgang USB-A und USB-C 5 V/3,1 A
Inkl. Ladekabel","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"

									29.06. - 05.07.
								
"
APPLE Gift Card 25 Euro,https://kaufland.media.schwarz/is/image/schwarz/01477916_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01477916.html,je ,,25.00 ,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
APPLE Gift Card 50 Euro,https://kaufland.media.schwarz/is/image/schwarz/01477917_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01477917.html,je ,,50.00 ,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
APPLE Gift Card 100 Euro,https://kaufland.media.schwarz/is/image/schwarz/01477918_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01477918.html,je ,,100.00 ,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
MEBUS Funk-Wetterstation »40918«,https://kaufland.media.schwarz/is/image/schwarz/01480594_P_570761?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01480594.html,je ,"
			-57%
					",14.99 ,"Anzeige von Innen- und Außentemperatur
Anzeige von Innen- und Außenluftfeuchtigkeit
Wettervorhersage und Mondphasenanzeige
Uhrzeitanzeige (12/24-h-Modus)
Displaybeleuchtung auf Knopfdruck
Funkgesteuerte Übertragung
Als Wand- oder Standgerät nutzbar","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
HP Multifunktionsdrucker »DeskJet Plus 4110e«,https://kaufland.media.schwarz/is/image/schwarz/01505522_P_638674?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01505522.html,je ,"
			-23%
					",79.99 ,"3 in 1: drucken, scannen, kopieren
Drucken Farbe/SW bis zu 5/8 Seiten/min
Automatischer beidseitiger Druck
Automatische Dokumentenzufuhr 35 Blatt
Drahtloses Drucken vom Mobilgerät aus
Dual-Band Wifi, USB, Mobil-Fax, Apple AIR Print™
Inkl. Druckpatronen Schwarz und Farbe (HP 305)","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
SWITCH ON® Laptop-Ständer,https://kaufland.media.schwarz/is/image/schwarz/01517938_V_696444?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01517938.html,je ,,8.99 ,"Für Notebooks und Tablets
Höhenverstellbar in 6 Stufen
Mit Gummiauflagen für sicheren Halt","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
Kopierpapier »Go Copy«,https://kaufland.media.schwarz/is/image/schwarz/01521650_P_691449?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01521650.html,je 500-Blatt-Packg. ,,3.99 ,"Für Drucker, Kopierer und Faxgeräte
Papierstärke 70 g/m²
Hoher Weißegrad
Nachhaltig und ressourcenschonend","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
DENVER TWS-In-Ear-Kopfhörer »TWQ-40P«,https://kaufland.media.schwarz/is/image/schwarz/01531613_P_741749?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01531613.html,je ,"
			-74%
					",17.99 ,"True wireless (TWS) mit Bluetooth 5.0
Integriertes Freisprechmikrofon
Musikwiedergabe bis zu 3 h
Kabellose 10-W-Ladestation (QI-kompatibel)
Lade- und Transportbox mit LED-Anzeige","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
DENVER On-Ear-Kopfhörer »BTH-270K«,https://kaufland.media.schwarz/is/image/schwarz/01531614_P_741748?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01531614.html,je ,"
			-67%
					",12.99 ,"Wiedergabezeit bis zu 20 h
Freisprechfunktion
Mit Bluetooth 5.1","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
LIV&BO® Wanduhr,https://kaufland.media.schwarz/is/image/schwarz/01533067_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01533067.html,je ,,3.99 ,"Präzises und geräuscharmes Quarz-Uhrwerk
Mit Thermometer und Hygrometer
Größe ca. Ø 25 cm
Inkl. Batterie
3 Jahre Garantie","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
TOSHIBA 4k-Smart-TV »43UL2163DG/2«,https://kaufland.media.schwarz/is/image/schwarz/01539154_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01539154.html,je ,"
			-54%
					",229.00 ,"Bildschirm ca. 108 cm (43 Zoll)
UHD-Auflösung 3.840 x 2.160 px
HDR 10
Integrierter Triple-Tuner DVB-T2/-C/-S2
Kompatibel mit Sprachassisenten (Alexa, Google)
Lautsprecher 2 x 10 W (Dolby Audio™)
3 x HDMI, 2 x USB, LAN, WLAN,
VESA-Norm 100 x 100 mm","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
GIGASET DECT-Single-Telefon »A275A«,https://kaufland.media.schwarz/is/image/schwarz/01540512_P_788112?JGstbGVnYWN5LW9uc2l0ZS0yJA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01540512.html,je ,,34.99 ,"Beleuchtetes Grafikdisplay
Bis zu 80 Telefonbucheinträge
Mit Freisprechfunktion
Anrufbeantworter bis ca. 25 min
Weckfunktion
Gesprächszeit/Standby ca. 18/200 h","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
TALENTUS® Aktenvernichter »TAV 300 A1«,https://kaufland.media.schwarz/is/image/schwarz/01540616_P_817963?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01540616.html,je ,,39.99 ,"Mit 2 geräuscharmen Schneidwerken
Bis zu 10 Blatt inkl. kleiner Heftklammern
Kreuzschnitt für Papier 5 x 18 mm (Stufe 4)
Auch für Kreditkarten und CDs/DVDs geeignet
Start/Stopp-Automatik
Auffangkorb ca. 21 l
300 W
Größe ca. B 35 x H 40 x T 21 cm
3 Jahre Garantie","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
HISENSE Tragbarer Party-Lautsprecher »HP110 Party Rocker One Plus«,https://kaufland.media.schwarz/is/image/schwarz/01546714_P_811005?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01546714.html,je ,"
			1/2 PREIS
					",189.00 ,"Oberseite spritzwassergeschützt (IPX4)
Lautsprecher mit insgesamt 300 W
Beleuchtung mit 5 Lichteffekten
DJ-Modus mit 5 Sound-Effekten
Karaoke-Modus inkl. 2 Mikrofone
Integrierte Kabellos-Ladeschale für Smartphones
Akkulaufzeit bis zu 15 h
AUX, USB, Bluetooth 5.0
Größe ca. B 25 x H 55 x T 29 cm (ca. 10 kg)","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"
29.06. - 05.07.
"
KAUFLAND MOBIL Starterpaket,https://kaufland.media.schwarz/is/image/schwarz/01261582?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01261582.html,je ,"
			1/2 PREIS
					",4.99 ,"Mit neuer SIM-Karte
Inkl. 10 € Startguthaben
Informationen und Aktivierung: kaufland-mobil.de","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Auswahl beliebter Unterhaltungsmedien,"

									29.06. - 05.07.
								
"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00429819.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00886976.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
BÄUERLICHE ERZEUGERGEMEINSCHAFT SCHWÄBISCH HALL Echt Hällische Wurstspezialität,https://kaufland.media.schwarz/is/image/schwarz/00898010?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=00898010.html,je 200-g-Dose (1 kg = 13.95),"
			KNÜLLER
					",2.79 ,"Lyoner, Bratwurst, Schinkenwurstoder Hausmacher Leberwurst","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,"
29.06. - 05.07.
"
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01082244.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01196373.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01713338.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01725126.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01763267.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01805449.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01891365.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02005787.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02069789.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02305411.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=02364602.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
,,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=04105656.html,,,,,"Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Genuss aus deiner Region,
NIKE Sportsocken,https://kaufland.media.schwarz/is/image/schwarz/01238459_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01511982.html,je 3 Paar ,,11.99 ,"Aus Baumwolle, Polyester, Elastan und Nylon
Versch. Farben
Größen 34/38 - 42/46","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Mode und Accessoires von Nike,"
29.06. - 05.07.
"
NIKE Sport-BH,https://kaufland.media.schwarz/is/image/schwarz/01526619_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01526619.html,je ,"
			-54%
					",17.99 ,"Aus Polyester und Elastan
Versch. Farben
Größen S - L","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Mode und Accessoires von Nike,"
29.06. - 05.07.
"
NIKE Damen-Funktionsshorts,https://kaufland.media.schwarz/is/image/schwarz/01526621_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01526621.html,je ,"
			-27%
					",12.99 ,"Aus Polyester
Leicht und atmungsaktiv
Gummizug mit Kordel
Größen S - XL","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Mode und Accessoires von Nike,"
29.06. - 05.07.
"
NIKE Rucksack,https://kaufland.media.schwarz/is/image/schwarz/01527200_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01527200.html,je ,"
			-33%
					",19.99 ,"Aus Polyester
Mit Fronttasche, Seitennetzfach und Handyfach
Doppel-Reißverschluss
Versch. Farben","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Mode und Accessoires von Nike,"
29.06. - 05.07.
"
NIKE Sporttasche,https://kaufland.media.schwarz/is/image/schwarz/01527208_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01527208.html,je ,"
			-33%
					",19.99 ,"Aus Polyester
Mit Doppel-Reißverschluss
2 Seitenfächer und großes Frontfach
Versch. Farben","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Mode und Accessoires von Nike,"
29.06. - 05.07.
"
NIKE Herren-Funktionsshirt,https://kaufland.media.schwarz/is/image/schwarz/01527216_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01527216.html,je ,"
			-34%
					",14.99 ,"Aus Polyester
Mit Mesh-Einsätzen hinten
Versch. Farben
Größen M - XXL","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Mode und Accessoires von Nike,"
29.06. - 05.07.
"
NIKE Herren-Funktionsshorts,https://kaufland.media.schwarz/is/image/schwarz/01527222_inter?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01527222.html,je ,"
			-35%
					",17.99 ,"Aus Polyester
Leicht und atmungsaktiv
Gummizug mit Kordel
Versch. Farben
Größen M - XXL","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Mode und Accessoires von Nike,"
29.06. - 05.07.
"
NIKE Damen-Funktionsshirt,https://kaufland.media.schwarz/is/image/schwarz/01527242_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01527242.html,je ,"
			-34%
					",14.99 ,"Aus Polyester
Mit Mesh-Einsätzen hinten
Versch. Farben
Größen S - XL","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Mode und Accessoires von Nike,"
29.06. - 05.07.
"
NIKE Sneakersocken,https://kaufland.media.schwarz/is/image/schwarz/01443026_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01528469.html,je 3 Paar ,"
			-23%
					",9.99 ,"Aus Baumwolle, Nylon und Elastan
Versch. Farben
Größen 34/38 - 42/46","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Mode und Accessoires von Nike,"
29.06. - 05.07.
"
MAUI AND SONS Strandtasche,https://kaufland.media.schwarz/is/image/schwarz/01520791_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01520791.html,je ,"
			-56%
					",12.99 ,"Aus Polyester
Mit Schultergurt und Reißverschluss
Versch. Ausführungen","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Strandartikel von Maui,"
29.06. - 05.07.
"
MAUI AND SONS Zehengreifer,https://kaufland.media.schwarz/is/image/schwarz/01520829_V_746492?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01520814.html,je Paar ,"
			-66%
					",4.99 ,"Obermaterial aus Gummi
EVA-Sohle
Versch. Ausführungen
Größen 37 - 41 bzw. 41 - 46","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Strandartikel von Maui,"

									29.06. - 05.07.
								
"
MAUI AND SONS Badepantoletten,https://kaufland.media.schwarz/is/image/schwarz/01521432_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01521432.html,je Paar ,"
			1/2 PREIS
					",9.99 ,"PU-Obermaterial
EVA-Sohle
Versch. Ausführungen
Größen 37 - 41 bzw. 41 - 46","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Strandartikel von Maui,"

									29.06. - 05.07.
								
"
MAUI AND SONS Aquaschuhe,https://kaufland.media.schwarz/is/image/schwarz/01521442_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01521442.html,je Paar ,"
			-55%
					",7.99 ,"Neopren-Obermaterial
TPR-Sohle
Versch. Ausführungen
Größen 37 - 41 bzw. 41 - 46","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Strandartikel von Maui,"

									29.06. - 05.07.
								
"
MAUI AND SONS Damen-T-Shirt,https://kaufland.media.schwarz/is/image/schwarz/01525141_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01525141.html,je ,"
			-76%
					",6.99 ,"Aus Baumwolle und Polyester
Größen 36/38 - 48/50 (S - XL)","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Strandartikel von Maui,"
29.06. - 05.07.
"
MAUI AND SONS Damen-Sweatshorts,https://kaufland.media.schwarz/is/image/schwarz/01525142_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01525142.html,je ,"
			-66%
					",9.99 ,"Aus Baumwolle und Polyester
Mit Gummizug am Bund
Größen 36/38 - 48/50 (S - XL)","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Strandartikel von Maui,"
29.06. - 05.07.
"
MAUI AND SONS Damen-Kleid,https://kaufland.media.schwarz/is/image/schwarz/01525143_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01525143.html,je ,"
			-68%
					",7.99 ,"Aus Baumwolle und Polyester
Größen 36/38 - 48/50 (S - XL)","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Strandartikel von Maui,"
29.06. - 05.07.
"
MAUI AND SONS Damen-Cropped-T-Shirt,https://kaufland.media.schwarz/is/image/schwarz/01525144_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01525144.html,je ,"
			-76%
					",5.99 ,"Aus Baumwolle und Polyester
Größen 36/38 - 48/50 (S - XL)","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Strandartikel von Maui,"
29.06. - 05.07.
"
MAUI AND SONS Herren-T-Shirt,https://kaufland.media.schwarz/is/image/schwarz/01525145_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01525145.html,je ,"
			-76%
					",6.99 ,"Aus Baumwolle und Polyester
Größen 48/50 - 60/62 (M - XXL)","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Strandartikel von Maui,"
29.06. - 05.07.
"
MAUI AND SONS Herren-Tanktop,https://kaufland.media.schwarz/is/image/schwarz/01525154_internet?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01525154.html,je ,"
			-72%
					",6.99 ,"Aus Baumwolle und Polyester
Größen 48/50 - 60/62 (M - XXL)","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Strandartikel von Maui,"
29.06. - 05.07.
"
MAUI AND SONS Cap,https://kaufland.media.schwarz/is/image/schwarz/01525183_P_746485?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01525183.html,je ,"
			-75%
					",4.99 ,"Aus Baumwolle
Versch. Ausführungen
Einheitsgröße (weitenverstellbar)","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Strandartikel von Maui,"
29.06. - 05.07.
"
MAUI AND SONS Bucket Hat,https://kaufland.media.schwarz/is/image/schwarz/01525373_P_746486?JGstbGVnYWN5LW9uc2l0ZS00JA==,https://filiale.kaufland.de/angebote/aktuelle-woche/uebersicht/detail.so_id=01525373.html,je ,"
			-75%
					",4.99 ,"Aus Baumwolle
Versch. Ausführungen
Einheitsgröße","Kurfürsten-Anlage 61, 69115 Heidelberg",Kaufland,Strandartikel von Maui,"
29.06. - 05.07.
"
