product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
Eisbergsalat,https://offer-images.api.edeka/6b9035bb-041c-4d7e-b4f6-73d728236745_Eisberg_2_PL_2.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, Stück",Kein Etikett,0.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Florette Sommergenuss,https://offer-images.api.edeka/44e90984-c077-4f8a-b9c5-3ad93fe65cde_3280220912162_VOR.tif.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"300-g-Packung
 
• 300-g-packung",Kein Etikett,1.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Unsere Heimat – echt & gut Bio Bunte Salate,https://offer-images.api.edeka/3eafcfc1-4862-4763-b4be-9055e190def6_80561600-BIO_UHN_MI.S076_DE-BW_I_6ST_DP-C.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"verschiedene Sorten, aus Deutschland, Klasse II, Stück",Kein Etikett,2.22,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Donnerstag bis Samstag: Heidelbeeren,https://offer-images.api.edeka/4823c876-8dac-46c8-88e2-e24149a2be78_80347101-KULTURHEIDELBEERE_DE_I_400G_SF-A.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, 300-g-Schale",SUPERKNÜLLER,2.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Donnerstag bis Samstag: Mixpaprika,https://offer-images.api.edeka/1809050c-334f-471f-ab85-6ea04b1b2812_Paprika_Mix_1_PL.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Spanien oder den Niederlanden, Klasse I, 500-g-Packung",SUPERKNÜLLER,0.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Donnerstag bis Samstag: Zucchini,https://offer-images.api.edeka/2447a2e3-9dd1-4715-923f-2dc3a0600f6c_AdobeStock_30835804.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"aus Deutschland, Klasse I, 1 kg",SUPERKNÜLLER,1.11,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
,,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,Keine Mengenangaben,Kein Etikett,,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,OBST & GEMÜSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Ehrmann Almighurt,https://offer-images.api.edeka/a3930364-5ef1-4f47-99f6-64c71582854c_EHR.ALMIGH.SCHOK_VAN_500G_MW.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"verschiedene Sorten, 3,8% Fett, 500-g-Glas zzgl. 0,15 € Pfand",SUPERKNÜLLER,1.11,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Alpro Soya Joghurtalternative oder Drink,https://offer-images.api.edeka/9d3413da-92fa-47e8-bc3a-50b30c9f42c2_5411188137955.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"verschiedene Sorten, z. B. Joghurtalternative Natur ohne Zucker, Vanille 400 g, Becher/Packung",SUPERKNÜLLER,1.49,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
Greco Original Loumini Grillkäse mit Basilikum,https://offer-images.api.edeka/832e4eb3-5f2b-4cc2-9bd5-c664e9273ecf_Greco_ReDesign_2023_Loumini_Basilikum_RGB_frontal_frei.png?imwidth=3840&imdensity=1,Keine Payback-Punkte,https://www.edeka.de/eh/s%C3%BCdwest/scheck-in-center-kurf%C3%BCrstenanlage-21-23/angebote.jsp,Keine Payback-Bedingung,"mind. 43% Fett i. Tr., 200-g-Packung",Kein Etikett,2.99,Keine Produktinformation,"Kurfürstenanlage 21-23, 69115 Heidelberg",EDEKA,MOLKEREI & KÄSE,2023-07-12,Gültig vom 10.07.2023 bis zum 15.07.2023
