product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category,date,offer_duration
MILKANA Schmelzkäse,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/35504236.png/jcr:content/35504236.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/kuehlregal/milkana-schmelzkaese,No Payback Condition,"je 190-g-Packung

								(1 kg = 9.95)",-29%,1.89,Verschiedene Sorten und Fettstufen,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
MILKANA Tolle Rolle*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/35504236_01.png/jcr:content/35504236_01.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/kuehlregal/milkana-tolle-rolle,No Payback Condition,"je 100-g-Packung

								(1 kg = 18.90)",-29%,1.89,38% Fett i. Tr.,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
SALAKIS Tradition Feta*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/37902848_01.png/jcr:content/37902848_01.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/kuehlregal/salakis-tradition-feta,No Payback Condition,"je 150-g-Packung

								(1 kg = 11.93)",-48%,1.79,"Im Kräutermantel, 48% Fett i. Tr",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
MÜLLER Joghurt mit der Ecke,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/35677778.png/jcr:content/35677778.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/kuehlregal/mueller-joghurt-mit-der-ecke?hide=true,No Payback Condition,"je 150-g-Becher

								(1 kg = 2.33)",-55%,0.35,Verschiedene Sorten,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
Gegrillte Avocado,https://cdn.penny.de/.imaging/mte/penny/fullwidth-desktop-lg/dam/PENNY-erleben/Rezepte-und-Ernährung/mittendrin-2-22/12-gegrillte-avocado/gegrillte-avocado_5760x1461px.jpg/jcr:content/gegrillte-avocado_5760x1461px.jpg,,https://www.penny.de/erleben/rezepte-und-ernaehrung/gegrillte-avocado,No Payback Condition,No Product Quantity,No Tag Label,0,No Product Information,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
ELITE High Protein Quarkcreme,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/34977910.png/jcr:content/34977910.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/kuehlregal/elite-high-protein-quarkcreme,No Payback Condition,"je 200-g-Becher

								(1 kg = 3.95)",Preisknaller,0.79,Versch. Sorten,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
DR. OETKER Marmorette Splits*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/22553294.png/jcr:content/22553294.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/kuehlregal/dr-oetker-marmorette-splits,No Payback Condition,"je 4 x 100-g-Becher

								(1 kg = 3.73)",Aktion,1.49,Schoko,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
DR. OETKER Paula Pudding*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/22553294_01.png/jcr:content/22553294_01.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/kuehlregal/dr-oetker-paula-pudding,No Payback Condition,"je 4 x 125-g-Becher

								(1 kg = 2.98)",Aktion,1.49,Schoko oder Vanille,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
FOOD FOR FUTURE Veganer Aufschnitt Typ Lyoner,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/35620263.png/jcr:content/35620263.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/kuehlregal/food-for-future-veganer-aufschnitt-typ-lyoner?hide=true,No Payback Condition,"je 80-g-Packung

								(1 kg = 9.88)",-20%,0.79,Versch. Sorten,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
Frühlingssalat,https://cdn.penny.de/.imaging/mte/penny/storygallery-sm/dam/PENNY-erleben/Rezepte-und-Ernährung/mittendrin-1-23/08-Frühlingssalat/1080x1350px.jpg/jcr:content/1080x1350px.jpg,,https://www.penny.de/erleben/rezepte-und-ernaehrung/fruehlingssalat,No Payback Condition,No Product Quantity,No Tag Label,0,No Product Information,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
RÜGENWALDER MÜHLE Vegetarisches Pfannengericht,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/23598482.png/jcr:content/23598482.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/kuehlregal/ruegenwalder-muehle-vegetarisches-pfannengericht,No Payback Condition,"je 180-g-Packung

								(1 kg = 13.83)",-24%,2.49,Verschiedene Sorten,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
DR. OETKER Intermezzo*,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/29075556.png/jcr:content/29075556.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/kuehlregal/dr-oetker-intermezzo,No Payback Condition,"je 165-g-Packung

								(1 kg = 12.06)",-16%,1.99,"Schinken mit Sauerrahm, je 165-g-Packung (1 kg = 12.06) oder
Hot Chili, mit Peperoni-Salami, je 185-g-Packung (1 kg = 10.76)",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
COPPENRATH & WIESE Meistertorte,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/28938464.png/jcr:content/28938464.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/kuehlregal/coppenrath--wiese-meistertorte,No Payback Condition,"je 800-g-Packung

								(1 kg = 6.86)",-31%,5.49,Mandel Bienenstich,Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
SCHÖLLER Pirulo,https://cdn.penny.de/.imaging/mte/penny/detail-md/dam/Angebote/Angebote-der-Woche/2023-28/food/24901113.png/jcr:content/24901113.png,1 °P pro 2 Euro Warenwert,https://www.penny.de/angebote/kuehlregal/schoeller-pirulo,No Payback Condition,"je 9 x 45-ml-Packung

								(1 Liter = 4.91)",-47%,1.99,"Kaktus, je 9 x 45-ml-Packung (1 Liter = 4.91) oder
Tropical Mini, je 300-ml-Packung (1 Liter = 6.63)",Dossenheimer Landstr. 40 69121 Heidelberg,Penny,Kühlregal,2023-07-11,10.07. - 15.07.
