product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store
Mutti Bio Geschälte Tomaten,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/2411039/30324229-18_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#2411039,,"je 2 x 400-g-Dose , (1 kg = 3.85) , 2 x 260-g-Abtropfgew. , Einzelpreis 1.89 € 260-g-Abtropfgew. je 400-g-Dose (1 kg = 7.27)",Aktion,"2,00 €","je 2 x 400-g-Dose , (1 kg = 3.85) , 2 x 260-g-Abtropfgew. , Einzelpreis 1.89 € 260-g-Abtropfgew. je 400-g-Dose (1 kg = 7.27)",Im Weiher 14,Rewe
Mutti Bio Gehackte Tomaten,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/2411049/26939485-20_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#2411049,,"je 2 x 400-g-Dose , (1 kg = 2.50)",Aktion,"2,00 €","je 2 x 400-g-Dose , (1 kg = 2.50)",Im Weiher 14,Rewe
Butcher’s Burger Saucen,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/8536574/32850542-8_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8536574,,"versch. Sorten , je 45-ml-Pckg , (1 l = 10.89)",Aktion,"0,49 €","versch. Sorten , je 45-ml-Pckg , (1 l = 10.89)",Im Weiher 14,Rewe
Just Spices Bio Fix,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/8453362/31408649-17_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8453362,,"versch. Sorten , je 34-g-Btl , (1 kg = 26.18)",Aktion,"0,89 €","versch. Sorten , je 34-g-Btl , (1 kg = 26.18)",Im Weiher 14,Rewe
Pomito Passierte Tomaten,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/8280040/29000433-11_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8280040,,"je 500-g-Pckg , (1 kg = 1.98)",Aktion,"0,99 €","je 500-g-Pckg , (1 kg = 1.98)",Im Weiher 14,Rewe
Thomy Dressing,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/7933277/32588752-9_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#7933277,,"versch. Sorten , je 350-ml-Fl , (1 l = 4.26)",Aktion,"1,49 €","versch. Sorten , je 350-ml-Fl , (1 l = 4.26)",Im Weiher 14,Rewe
Maggi Ravioli,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/0131334/28748823-27_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#131334,,"versch. Sorten , je 800-g-Dose , (1 kg = 1.99)",Knaller,"1,59 €","versch. Sorten , je 800-g-Dose , (1 kg = 1.99)",Im Weiher 14,Rewe
Knorr Pasta Snack,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/3068629/25964857-14_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#3068629,,"Käse-Sahne-Sauce , je 71-g-Becher , (1 kg = 11.13)",Knaller,"0,79 €","Käse-Sahne-Sauce , je 71-g-Becher , (1 kg = 11.13)",Im Weiher 14,Rewe
Heinz Sauce,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/0332369/6896160-61_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#332369,,"versch. Sorten , je 220-ml-Fl , (1 l = 4.55)",Aktion,"1,00 €","versch. Sorten , je 220-ml-Fl , (1 l = 4.55)",Im Weiher 14,Rewe
Knorr Fix Lasagne,https://img.rewe-static.de/REWE_CENTER_HZ26_2023/8356711/30278541-10_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://www.rewe.de/angebote/heidelberg-handschuhsheim/840240/rewe-center-im-weiher-14/?icid=marktseiten_rewe-de%3Amarktseite-840240_int_angebote_rewe-de%3Aangebote_nn_nn_nn_nn#8356711,,"je 52-g-Btl , (1 kg = 8.46)",Aktion,"0,44 €","je 52-g-Btl , (1 kg = 8.46)",Im Weiher 14,Rewe
