product_name,product_image,payback_points,product_link,payback_condition,product_quantity,tag_label,price,product_information,store_address,store,category
Lenz Moser Selection Blauer Zweigelt oder Grüner Veltliner,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/3015025/1223640-36_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=3015025,,"trocken , je 0,75-l-Fl , (1 l = 6.65)",Aktion,"4,99 €","trocken , je 0,75-l-Fl , (1 l = 6.65)",Im Weiher 14,Rewe,Wein & Spirituosen
Cream fizz,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/0674490/5244980-8_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=674490,,"versch. Sorten, weinhaltiger Cocktail , je 0,75-l-Fl , (1 l = 3.32)",Aktion,"2,49 €","versch. Sorten, weinhaltiger Cocktail , je 0,75-l-Fl , (1 l = 3.32)",Im Weiher 14,Rewe,Wein & Spirituosen
Gorbatschow Wodka Original oder Citron,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/0357737/31278189-8_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=357737,,"37,5% Vol. , je 0,7-l , (1 l = 9.27)",Aktion,"6,49 €","37,5% Vol. , je 0,7-l , (1 l = 9.27)",Im Weiher 14,Rewe,Wein & Spirituosen
Ritmo de la Vida! Tempranillo oder Verdejo,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/8611036/33174380-11_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=8611036,,"trocken , je 0,75-l-Fl , (1 l = 5.99)",Aktion,"4,49 €","trocken , je 0,75-l-Fl , (1 l = 5.99)",Im Weiher 14,Rewe,Wein & Spirituosen
Lauffener Weißherbst Samtrot Kabinett,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/1013697/10761650-38_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=1013697,,"lieblich , je 0,75-l-Fl , (1 l = 5.32)",Aktion,"3,99 €","lieblich , je 0,75-l-Fl , (1 l = 5.32)",Im Weiher 14,Rewe,Wein & Spirituosen
Santa Cristina Rosso IGT,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/5476232/6222490-36_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=5476232,,"trocken , je 0,75-l-Fl , (1 l = 9.32)",Aktion,"6,99 €","trocken , je 0,75-l-Fl , (1 l = 9.32)",Im Weiher 14,Rewe,Wein & Spirituosen
Kaiserstuhl Grauer Burgunder QbA,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/0579674/22663141-18_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=579674,,"trocken , je 0,75-l-Fl , (1 l = 4.65)",Aktion,"3,49 €","trocken , je 0,75-l-Fl , (1 l = 4.65)",Im Weiher 14,Rewe,Wein & Spirituosen
REWE Feine Welt Aperitivo,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/8877543/38379245-13_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=8877543,,"Bitter Aperitif, 17% Vol. , je 0,7-l-Fl , (1 l = 9.99)",Aktion,"6,99 €","Bitter Aperitif, 17% Vol. , je 0,7-l-Fl , (1 l = 9.99)",Im Weiher 14,Rewe,Wein & Spirituosen
Strandgut Weinschorle Weiß oder Rosé,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/2424178/30645178-6_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=2424178,,"lieblich , je 0,75-l-Fl , (1 l = 2.65)",Aktion,"1,99 €","lieblich , je 0,75-l-Fl , (1 l = 2.65)",Im Weiher 14,Rewe,Wein & Spirituosen
Elephant London Dry Gin,https://img.rewe-static.de/REWE_CENTER_HZ27_2023/2215487/24435614-16_digital-image.png?impolicy=s-offers&imwidth=200&output-format=image/webp,,https://shop.rewe.de/productList?search=2215487,,"45% Vol. , je 0,5-l-Fl , (1 l = 59.98)",Aktion,"29,99 €","45% Vol. , je 0,5-l-Fl , (1 l = 59.98)",Im Weiher 14,Rewe,Wein & Spirituosen
